date,description,amount,balance,category
2024-01-01,Salary Deposit - ABC Corp,5000.00,5000.00,income
2024-01-02,Rent Payment - Landlord LLC,-1500.00,3500.00,housing
2024-01-03,Whole Foods Market,-150.00,3350.00,food
2024-01-04,Shell Gas Station,-45.00,3305.00,transportation
2024-01-05,Electric Bill - City Power,-120.00,3185.00,utilities
2024-01-06,Starbucks Coffee,-12.50,3172.50,food
2024-01-07,Freelance Payment - Client A,800.00,3972.50,income
2024-01-08,Target Store,-85.00,3887.50,shopping
2024-01-09,Netflix Subscription,-15.99,3871.51,entertainment
2024-01-10,Gas Station,-50.00,3821.51,transportation
2024-01-11,Restaurant - Italian Bistro,-75.00,3746.51,food
2024-01-12,Pharmacy - CVS,-35.00,3711.51,healthcare
2024-01-13,Uber Ride,-28.00,3683.51,transportation
2024-01-14,Grocery Store - Safeway,-145.00,3538.51,food
2024-01-15,Internet Bill - Comcast,-60.00,3478.51,utilities
2024-01-16,Amazon Purchase,-125.00,3353.51,shopping
2024-01-17,Coffee Shop,-8.50,3345.01,food
2024-01-18,Gas Station,-48.00,3297.01,transportation
2024-01-19,Restaurant - Sushi Place,-95.00,3202.01,food
2024-01-20,Client Payment - Project B,1200.00,4402.01,income
2024-01-21,Gym Membership - FitLife,-50.00,4352.01,fitness
2024-01-22,Car Insurance - State Farm,-150.00,4202.01,insurance
2024-01-23,Grocery Store - Trader Joes,-120.00,4082.01,food
2024-01-24,Movie Tickets,-35.00,4047.01,entertainment
2024-01-25,Pharmacy - Walgreens,-42.00,4005.01,healthcare
2024-01-26,Gas Station,-52.00,3953.01,transportation
2024-01-27,Restaurant - Mexican Grill,-68.00,3885.01,food
2024-01-28,Grocery Store - Whole Foods,-160.00,3725.01,food
2024-01-29,Spotify Subscription,-9.99,3715.02,entertainment
2024-01-30,Gym Membership - FitLife,-50.00,3665.02,fitness
2024-01-31,Water Bill - City Utilities,-45.00,3620.02,utilities
2024-02-01,Salary Deposit - ABC Corp,5000.00,8620.02,income
2024-02-02,Rent Payment - Landlord LLC,-1500.00,7120.02,housing
2024-02-03,Grocery Store - Safeway,-155.00,6965.02,food
2024-02-04,Gas Station,-47.00,6918.02,transportation
2024-02-05,Electric Bill - City Power,-125.00,6793.02,utilities
2024-02-06,Coffee Shop,-11.00,6782.02,food
2024-02-07,Freelance Payment - Client C,950.00,7732.02,income
2024-02-08,Target Store,-92.00,7640.02,shopping
2024-02-09,Netflix Subscription,-15.99,7624.03,entertainment
2024-02-10,Gas Station,-51.00,7573.03,transportation
2024-02-11,Restaurant - Thai Kitchen,-82.00,7491.03,food
2024-02-12,Pharmacy - CVS,-38.00,7453.03,healthcare
2024-02-13,Uber Ride,-32.00,7421.03,transportation
2024-02-14,Flowers - Valentine's Day,-65.00,7356.03,gifts
2024-02-15,Internet Bill - Comcast,-60.00,7296.03,utilities
2024-02-16,Amazon Purchase,-145.00,7151.03,shopping
2024-02-17,Coffee Shop,-9.50,7141.53,food
2024-02-18,Gas Station,-49.00,7092.53,transportation
2024-02-19,Restaurant - Steakhouse,-125.00,6967.53,food
2024-02-20,Client Payment - Project D,1500.00,8467.53,income
2024-02-21,Gym Membership - FitLife,-50.00,8417.53,fitness
2024-02-22,Car Insurance - State Farm,-150.00,8267.53,insurance
2024-02-23,Grocery Store - Whole Foods,-135.00,8132.53,food
2024-02-24,Concert Tickets,-85.00,8047.53,entertainment
2024-02-25,Pharmacy - Walgreens,-45.00,8002.53,healthcare
2024-02-26,Gas Station,-53.00,7949.53,transportation
2024-02-27,Restaurant - Chinese Food,-72.00,7877.53,food
2024-02-28,Grocery Store - Trader Joes,-148.00,7729.53,food
2024-02-29,Spotify Subscription,-9.99,7719.54,entertainment
2024-03-01,Salary Deposit - ABC Corp,5000.00,12719.54,income
2024-03-02,Rent Payment - Landlord LLC,-1500.00,11219.54,housing
2024-03-03,Grocery Store - Safeway,-162.00,11057.54,food
2024-03-04,Gas Station,-48.00,11009.54,transportation
2024-03-05,Electric Bill - City Power,-130.00,10879.54,utilities
2024-03-06,Bonus Payment - ABC Corp,2000.00,12879.54,income
2024-03-07,Large Purchase - Furniture,-3500.00,9379.54,shopping
2024-03-08,Coffee Shop,-10.50,9369.04,food
2024-03-09,Netflix Subscription,-15.99,9353.05,entertainment
2024-03-10,Gas Station,-52.00,9301.05,transportation
